"SPOT.Open","SPOT.High","SPOT.Low","SPOT.Close","SPOT.Volume","SPOT.Adjusted","Date"
280.279998779297,284.908996582031,278.829986572266,282.160003662109,882100,282.160003662109,2020-08-31
284.649993896484,293,282.089996337891,291.75,1233300,291.75,2020-09-01
291.850006103516,294.670013427734,266.079986572266,276.290008544922,2455700,276.290008544922,2020-09-02
268,274.970001220703,258.690002441406,261.660003662109,1845500,261.660003662109,2020-09-03
259.309997558594,260.440002441406,238.660003662109,248.210006713867,2062800,248.210006713867,2020-09-04
240.660003662109,247.339996337891,237.119003295898,240.020004272461,1469800,240.020004272461,2020-09-08
247.990005493164,250.960006713867,243.005004882812,244.929992675781,1057100,244.929992675781,2020-09-09
260.029998779297,265.888000488281,247.350006103516,247.779998779297,3026300,247.779998779297,2020-09-10
249.639999389648,251.449996948242,237.509994506836,241.600006103516,1371600,241.600006103516,2020-09-11
246.259994506836,248.070007324219,238.330001831055,238.550003051758,1185700,238.550003051758,2020-09-14
242.5,244.589996337891,237.009994506836,237.910003662109,1232700,237.910003662109,2020-09-15
232,241.110000610352,220.699996948242,234.850006103516,5339100,234.850006103516,2020-09-16
230.820007324219,238.990005493164,228.009994506836,234.309997558594,1913600,234.309997558594,2020-09-17
235.179992675781,237.190002441406,229.925003051758,233.889999389648,1298000,233.889999389648,2020-09-18
232,240,230.128005981445,239.339996337891,998300,239.339996337891,2020-09-21
239.240005493164,241.770004272461,234.020004272461,241.009994506836,1539600,241.009994506836,2020-09-22
241.960006713867,244.839996337891,234.570007324219,235.050003051758,1142100,235.050003051758,2020-09-23
233,234.699996948242,225.179992675781,231.259994506836,1451300,231.259994506836,2020-09-24
233.979995727539,236.339996337891,229.470001220703,235.979995727539,770800,235.979995727539,2020-09-25
243,243.990005493164,233.490005493164,236.419998168945,937900,236.419998168945,2020-09-28
237.389999389648,244.330001831055,234.639999389648,242.449996948242,1213600,242.449996948242,2020-09-29
244,246.466995239258,240.600006103516,242.570007324219,1131800,242.570007324219,2020-09-30
244.520004272461,250.75,243.964996337891,250.190002441406,1051500,250.190002441406,2020-10-01
244.070007324219,249.320007324219,240.179992675781,240.279998779297,1043800,240.279998779297,2020-10-02
244.100006103516,252.110000610352,241.27099609375,251.369995117188,964300,251.369995117188,2020-10-05
249.679992675781,255.699996948242,247.149993896484,248.539993286133,932600,248.539993286133,2020-10-06
251.699996948242,253.25,246.740005493164,251.509994506836,616700,251.509994506836,2020-10-07
254.630004882812,254.899993896484,247.679992675781,249.800003051758,765600,249.800003051758,2020-10-08
249.669998168945,252.886001586914,248.052001953125,250,617300,250,2020-10-09
252.130004882812,253.619995117188,248.210006713867,251.440002441406,937600,251.440002441406,2020-10-12
254,268.25,252.820007324219,266.950012207031,1591600,266.950012207031,2020-10-13
268.859985351562,269,257.170013427734,257.619995117188,989600,257.619995117188,2020-10-14
253.970001220703,261.869995117188,250.630004882812,261.549987792969,904000,261.549987792969,2020-10-15
263.989990234375,268.25,262.149993896484,262.549987792969,1038300,262.549987792969,2020-10-16
263.170013427734,267.489990234375,259.765014648438,261.010009765625,818800,261.010009765625,2020-10-19
260.040008544922,263.717987060547,257.320007324219,260.950012207031,904200,260.950012207031,2020-10-20
262.149993896484,273.575012207031,260.630004882812,271.320007324219,1359500,271.320007324219,2020-10-21
269.540008544922,274,266.182006835938,271.880004882812,1216200,271.880004882812,2020-10-22
270.380004882812,284.127990722656,270.380004882812,283.489990234375,1349800,283.489990234375,2020-10-23
280.230010986328,286.549987792969,280,284.959991455078,1921300,284.959991455078,2020-10-26
286.739990234375,292.790008544922,285,287.450012207031,1778000,287.450012207031,2020-10-27
281.429992675781,284.640014648438,273.359985351562,276.140014648438,2257900,276.140014648438,2020-10-28
260,268.559997558594,248.259994506836,266.869995117188,5508200,266.869995117188,2020-10-29
263.709991455078,265.529998779297,235.880004882812,239.889999389648,3520500,239.889999389648,2020-10-30
240.009994506836,240.789993286133,228.110000610352,231.600006103516,2282200,231.600006103516,2020-11-02
236,241.350006103516,232.865997314453,236.529998779297,1418500,236.529998779297,2020-11-03
245,246.949996948242,238,239.279998779297,1907000,239.279998779297,2020-11-04
247.720001220703,257.769989013672,239.600006103516,256.380004882812,2180600,256.380004882812,2020-11-05
257.5,276.489990234375,255.740005493164,276.100006103516,2161200,276.100006103516,2020-11-06
258,284.109985351562,257.179992675781,274.200012207031,2060100,274.200012207031,2020-11-09
272.559997558594,273.575012207031,248.020004272461,249.990005493164,2371400,249.990005493164,2020-11-10
253,264.549987792969,252.309997558594,261.040008544922,1183800,261.040008544922,2020-11-11
261.290008544922,267.660003662109,256.809997558594,258.690002441406,890600,258.690002441406,2020-11-12
260.5,262.119995117188,251.899993896484,253.5,861600,253.5,2020-11-13
252.850006103516,256.049987792969,245.309997558594,245.850006103516,1438100,245.850006103516,2020-11-16
