"IBGX.MI.Open","IBGX.MI.High","IBGX.MI.Low","IBGX.MI.Close","IBGX.MI.Volume","IBGX.MI.Adjusted","Date"
174.850006103516,174.940002441406,174.740005493164,174.800003051758,5578,166.761093139648,2020-09-23
174.770004272461,174.860000610352,174.639999389648,174.699996948242,17678,166.665679931641,2020-09-24
174.639999389648,174.779998779297,174.639999389648,174.710006713867,3718,166.675231933594,2020-09-25
174.679992675781,174.770004272461,174.639999389648,174.729995727539,1342,166.694305419922,2020-09-28
174.740005493164,174.839996337891,174.729995727539,174.809997558594,7159,166.770629882812,2020-09-29
174.789993286133,174.910003662109,174.649993896484,174.690002441406,4900,166.656127929688,2020-09-30
174.630004882812,174.800003051758,174.600006103516,174.800003051758,19071,166.761093139648,2020-10-01
174.899993896484,175,174.809997558594,174.899993896484,5045,166.856491088867,2020-10-02
175.080001831055,175.080001831055,174.820007324219,174.809997558594,3241,166.770629882812,2020-10-05
174.740005493164,174.889999389648,174.729995727539,174.850006103516,3165,166.808792114258,2020-10-06
174.860000610352,175.610000610352,174.809997558594,174.850006103516,14243,166.808792114258,2020-10-07
175.009994506836,175.009994506836,174.830001831055,174.929992675781,4433,166.885101318359,2020-10-08
175.039993286133,175.380004882812,174.960006713867,175.009994506836,14695,166.961441040039,2020-10-09
175.080001831055,175.220001220703,175.029998779297,175.080001831055,11658,167.028228759766,2020-10-12
175.330001831055,175.330001831055,175.089996337891,175.210006713867,6586,167.152252197266,2020-10-13
175.279998779297,175.330001831055,175.190002441406,175.259994506836,4499,167.199951171875,2020-10-14
175.289993286133,175.380004882812,175.160003662109,175.259994506836,9879,167.199951171875,2020-10-15
175.190002441406,175.460006713867,175.190002441406,175.419998168945,7150,167.352584838867,2020-10-16
175.539993286133,175.539993286133,175.229995727539,175.330001831055,4800,167.266723632812,2020-10-19
175.360000610352,175.410003662109,175.169998168945,175.259994506836,4222,167.199951171875,2020-10-20
175.229995727539,175.270004272461,175.080001831055,175.100006103516,44070,167.047317504883,2020-10-21
175.139999389648,175.199996948242,175.059997558594,175.009994506836,2109,166.961441040039,2020-10-22
174.990005493164,175.169998168945,174.990005493164,175.100006103516,6542,167.047317504883,2020-10-23
175.179992675781,175.270004272461,175.059997558594,175.080001831055,7120,167.028228759766,2020-10-26
175.149993896484,175.289993286133,175.100006103516,175.289993286133,5759,167.228561401367,2020-10-27
175.270004272461,175.339996337891,175.119995117188,175.210006713867,12957,167.152252197266,2020-10-28
175.199996948242,175.550003051758,175.080001831055,175.440002441406,7493,167.371673583984,2020-10-29
175.369995117188,175.5,175.300003051758,175.380004882812,18333,167.314437866211,2020-10-30
175.449996948242,175.5,175.289993286133,175.440002441406,5720,167.371673583984,2020-11-02
175.399993896484,175.5,175.339996337891,175.449996948242,7170,167.381195068359,2020-11-03
175.539993286133,175.610000610352,175.410003662109,175.509994506836,2257,167.438446044922,2020-11-04
175.610000610352,175.630004882812,175.479995727539,175.509994506836,13453,167.438446044922,2020-11-05
175.490005493164,175.589996337891,175.470001220703,175.470001220703,3997,167.400299072266,2020-11-06
175.740005493164,175.740005493164,174.960006713867,174.960006713867,24532,166.91374206543,2020-11-09
174.990005493164,175.029998779297,174.820007324219,174.869995117188,10858,166.827865600586,2020-11-10
174.860000610352,175.059997558594,174.789993286133,174.979995727539,7313,166.932815551758,2020-11-11
175.009994506836,175.139999389648,174.929992675781,175.119995117188,10861,167.066375732422,2020-11-12
175.199996948242,175.669998168945,175.089996337891,175.179992675781,8669,167.123611450195,2020-11-13
175.300003051758,175.309997558594,175.089996337891,175.220001220703,14908,167.161773681641,2020-11-16
175.130004882812,175.309997558594,175.130004882812,175.279998779297,7168,167.219024658203,2020-11-17
175.339996337891,175.380004882812,175.220001220703,175.259994506836,9498,167.199951171875,2020-11-18
175.289993286133,175.320007324219,175.179992675781,175.270004272461,8470,167.209487915039,2020-11-19
175.279998779297,175.369995117188,175.279998779297,175.350006103516,11384,167.28581237793,2020-11-20
175.399993896484,175.429992675781,175.279998779297,175.369995117188,8819,167.304870605469,2020-11-23
175.5,175.5,175.279998779297,175.279998779297,8991,167.219024658203,2020-11-24
175.339996337891,175.419998168945,175.279998779297,175.279998779297,12590,167.219024658203,2020-11-25
175.330001831055,175.410003662109,175.289993286133,175.369995117188,6451,167.304870605469,2020-11-26
175.339996337891,175.449996948242,175.309997558594,175.309997558594,6488,167.247650146484,2020-11-27
175.350006103516,175.419998168945,175.279998779297,175.289993286133,6090,167.228561401367,2020-11-30
175.369995117188,175.369995117188,175.050003051758,175.070007324219,7323,167.018676757812,2020-12-01
175.070007324219,175.160003662109,175.029998779297,175.100006103516,8953,167.047317504883,2020-12-02
175.089996337891,175.320007324219,175.089996337891,175.320007324219,62322,167.257202148438,2020-12-03
175.149993896484,175.360000610352,175.149993896484,175.25,7817,167.190414428711,2020-12-04
175.460006713867,175.460006713867,175.240005493164,175.440002441406,16147,167.371673583984,2020-12-07
175.410003662109,175.559997558594,175.369995117188,175.550003051758,3977,167.476623535156,2020-12-08
175.460006713867,175.580001831055,175.460006713867,175.470001220703,7950,167.400299072266,2020-12-09
175.509994506836,176.059997558594,175.389999389648,175.440002441406,12720,167.371673583984,2020-12-10
175.619995117188,175.699996948242,175.600006103516,175.630004882812,26810,167.552932739258,2020-12-11
175.639999389648,175.690002441406,175.529998779297,175.679992675781,5483,167.600631713867,2020-12-14
175.559997558594,175.699996948242,175.539993286133,175.619995117188,6598,167.543395996094,2020-12-15
175.539993286133,175.610000610352,175.369995117188,175.369995117188,8300,167.304870605469,2020-12-16
175.300003051758,175.529998779297,175.289993286133,175.440002441406,14463,167.371673583984,2020-12-17
175.539993286133,175.539993286133,175.229995727539,175.360000610352,8782,167.295349121094,2020-12-18
175.479995727539,175.520004272461,175.289993286133,175.330001831055,4395,167.266723632812,2020-12-21
175.440002441406,175.440002441406,175.279998779297,175.339996337891,13166,167.276260375977,2020-12-22
175.410003662109,175.410003662109,175.080001831055,175.110000610352,5891,167.056854248047,2020-12-23
175.130004882812,175.309997558594,175.110000610352,175.25,6153,167.190414428711,2020-12-28
175.320007324219,175.389999389648,175.25,175.330001831055,2734,167.266723632812,2020-12-29
175.259994506836,175.919998168945,175.190002441406,175.289993286133,5438,167.228561401367,2020-12-30
175.279998779297,175.399993896484,175.210006713867,175.279998779297,4960,167.219024658203,2021-01-04
175.449996948242,175.449996948242,175.139999389648,175.399993896484,8666,167.333511352539,2021-01-05
175,175.169998168945,175,175.110000610352,2014,167.056854248047,2021-01-06
175.070007324219,175.190002441406,175.039993286133,175.119995117188,12265,167.066375732422,2021-01-07
175.190002441406,175.259994506836,175.089996337891,175.149993896484,9379,167.095001220703,2021-01-08
175.199996948242,175.199996948242,174.940002441406,174.990005493164,3342,166.942352294922,2021-01-11
174.919998168945,175.009994506836,174.710006713867,174.720001220703,4425,166.684768676758,2021-01-12
174.809997558594,174.940002441406,174.800003051758,174.979995727539,2306,166.932815551758,2021-01-13
175.029998779297,175.059997558594,174.869995117188,175.059997558594,7619,167.009140014648,2021-01-14
175,175.080001831055,174.910003662109,174.940002441406,9374,166.894653320312,2021-01-15
174.830001831055,175.059997558594,174.830001831055,174.940002441406,43939,166.894653320312,2021-01-18
174.940002441406,174.979995727539,174.830001831055,174.970001220703,12578,166.923278808594,2021-01-19
174.869995117188,176.559997558594,174.869995117188,174.949996948242,16556,166.904190063477,2021-01-20
175.029998779297,175.029998779297,174.679992675781,174.679992675781,24881,166.646606445312,2021-01-21
174.660003662109,174.860000610352,174.619995117188,174.710006713867,21117,166.675231933594,2021-01-22
174.759994506836,174.990005493164,174.699996948242,174.940002441406,6966,166.894653320312,2021-01-25
174.919998168945,175.050003051758,174.910003662109,174.960006713867,12596,166.91374206543,2021-01-26
174.919998168945,175.119995117188,174.910003662109,175.050003051758,11550,166.999603271484,2021-01-27
175.080001831055,175.160003662109,174.990005493164,175.100006103516,8530,167.047317504883,2021-01-28
175.100006103516,175.130004882812,174.889999389648,174.979995727539,17551,166.932815551758,2021-01-29
175.039993286133,175.050003051758,174.940002441406,174.990005493164,6144,166.942352294922,2021-02-01
174.899993896484,174.970001220703,174.770004272461,174.839996337891,10447,166.799240112305,2021-02-02
174.899993896484,174.990005493164,174.839996337891,174.869995117188,15262,166.827865600586,2021-02-03
174.800003051758,174.949996948242,174.770004272461,174.949996948242,9326,166.904190063477,2021-02-04
174.779998779297,174.949996948242,174.75,174.860000610352,8952,166.818328857422,2021-02-05
174.740005493164,174.949996948242,174.720001220703,174.949996948242,11147,166.904190063477,2021-02-08
174.809997558594,174.970001220703,174.809997558594,174.910003662109,29134,166.866027832031,2021-02-09
174.860000610352,174.960006713867,174.850006103516,174.910003662109,22889,166.866027832031,2021-02-10
174.919998168945,175.029998779297,174.860000610352,175,17237,166.951904296875,2021-02-11
175,175.050003051758,174.770004272461,174.869995117188,5930,166.827865600586,2021-02-12
174.940002441406,174.940002441406,174.660003662109,174.679992675781,6645,166.646606445312,2021-02-15
174.589996337891,174.720001220703,174.580001831055,174.550003051758,5711,166.522583007812,2021-02-16
174.479995727539,174.589996337891,174.460006713867,174.570007324219,4483,166.54167175293,2021-02-17
174.550003051758,174.639999389648,174.259994506836,174.339996337891,5665,166.322235107422,2021-02-18
