"EM1015.MI.Open","EM1015.MI.High","EM1015.MI.Low","EM1015.MI.Close","EM1015.MI.Volume","EM1015.MI.Adjusted","Date"
249.139999389648,249.479995727539,249.020004272461,249.440002441406,303,249.440002441406,2020-11-26
249.589996337891,249.589996337891,249.259994506836,249.399993896484,215,249.399993896484,2020-11-27
249.600006103516,249.600006103516,249.160003662109,248.919998168945,174,248.919998168945,2020-11-30
249.229995727539,249.229995727539,247.380004882812,247.580001831055,149,247.580001831055,2020-12-01
247.990005493164,247.990005493164,247.619995117188,247.910003662109,38,247.910003662109,2020-12-02
248.149993896484,248.779998779297,248.130004882812,248.779998779297,324,248.779998779297,2020-12-03
248.990005493164,248.990005493164,248.479995727539,248.369995117188,81,248.369995117188,2020-12-04
249.479995727539,249.479995727539,249.080001831055,249.169998168945,362,249.169998168945,2020-12-07
249.5,249.550003051758,249.410003662109,249.860000610352,194,249.860000610352,2020-12-08
249.490005493164,249.970001220703,249.490005493164,249.850006103516,129,249.850006103516,2020-12-09
250.190002441406,250.240005493164,250.080001831055,249.949996948242,40,249.949996948242,2020-12-10
250.720001220703,250.720001220703,250.589996337891,250.610000610352,110,250.610000610352,2020-12-11
250.300003051758,250.679992675781,250.240005493164,250.440002441406,528,250.440002441406,2020-12-14
250.539993286133,250.729995727539,250.490005493164,250.589996337891,110,250.589996337891,2020-12-15
250.589996337891,250.589996337891,248.619995117188,249.679992675781,213,249.679992675781,2020-12-16
249.550003051758,250.520004272461,249.5,249.880004882812,99,249.880004882812,2020-12-17
249.809997558594,249.809997558594,249.429992675781,249.429992675781,42,249.429992675781,2020-12-18
250.25,250.25,249.460006713867,249.740005493164,250,249.740005493164,2020-12-21
249.789993286133,249.869995117188,249.139999389648,249.869995117188,322,249.869995117188,2020-12-22
249.910003662109,249.910003662109,248.660003662109,248.779998779297,1112,248.779998779297,2020-12-23
249.639999389648,249.639999389648,249.149993896484,249.630004882812,236,249.630004882812,2020-12-28
249.779998779297,250.029998779297,249.779998779297,249.809997558594,453,249.809997558594,2020-12-29
249.529998779297,250.009994506836,249.220001220703,249.789993286133,371,249.789993286133,2020-12-30
249.899993896484,250.380004882812,249.899993896484,250.160003662109,179,250.160003662109,2021-01-04
249.869995117188,250.080001831055,249.869995117188,249.839996337891,41,249.839996337891,2021-01-05
248.940002441406,249.399993896484,248.570007324219,249.149993896484,1520,249.149993896484,2021-01-06
249.389999389648,249.720001220703,249.139999389648,249.179992675781,626,249.179992675781,2021-01-07
249.529998779297,249.899993896484,249.529998779297,249.610000610352,969,249.610000610352,2021-01-08
249.679992675781,249.75,248.899993896484,248.820007324219,2018,248.820007324219,2021-01-11
248.360000610352,248.360000610352,247.910003662109,247.470001220703,42,247.470001220703,2021-01-12
248.300003051758,249,247.880004882812,249.039993286133,317,249.039993286133,2021-01-13
248.880004882812,249.199996948242,248.669998168945,249.130004882812,545,249.130004882812,2021-01-14
249,249.169998168945,248.949996948242,248.979995727539,156,248.979995727539,2021-01-15
248.360000610352,248.429992675781,248.080001831055,248.369995117188,764,248.369995117188,2021-01-18
248.350006103516,248.619995117188,248.350006103516,248.800003051758,132,248.800003051758,2021-01-19
249.029998779297,249.080001831055,248.669998168945,248.610000610352,177,248.610000610352,2021-01-20
248.740005493164,248.740005493164,247.410003662109,247.539993286133,222,247.539993286133,2021-01-21
246.800003051758,247.199996948242,246.800003051758,247.199996948242,30,247.199996948242,2021-01-22
247.809997558594,248.559997558594,247.779998779297,248.559997558594,152,248.559997558594,2021-01-25
248.710006713867,248.710006713867,248.360000610352,248.410003662109,345,248.410003662109,2021-01-26
248.389999389648,249.050003051758,248.380004882812,248.509994506836,121,248.509994506836,2021-01-27
248.600006103516,248.779998779297,248.300003051758,248.320007324219,332,248.320007324219,2021-01-28
248.169998168945,248.169998168945,247.789993286133,247.919998168945,40,247.919998168945,2021-01-29
248.059997558594,248.119995117188,247.910003662109,248.009994506836,396,248.009994506836,2021-02-01
247.529998779297,247.529998779297,247.350006103516,247.279998779297,916,247.279998779297,2021-02-02
247.699996948242,247.949996948242,247.190002441406,247.259994506836,2871,247.259994506836,2021-02-03
247.210006713867,247.610000610352,247.179992675781,247.449996948242,441,247.449996948242,2021-02-04
247.789993286133,247.830001831055,247.289993286133,247.300003051758,158,247.300003051758,2021-02-05
247.050003051758,247.190002441406,247.050003051758,247.449996948242,22,247.449996948242,2021-02-08
246.850006103516,247.600006103516,246.850006103516,247.470001220703,252,247.470001220703,2021-02-09
247.389999389648,247.649993896484,247.369995117188,247.369995117188,96,247.369995117188,2021-02-10
248.029998779297,248.029998779297,247.570007324219,247.940002441406,300,247.940002441406,2021-02-11
248.050003051758,248.199996948242,246.889999389648,247.050003051758,186,247.050003051758,2021-02-12
246.339996337891,246.339996337891,245.610000610352,245.960006713867,304,245.960006713867,2021-02-15
246.229995727539,246.229995727539,245.25,245.020004272461,29,245.020004272461,2021-02-16
244.860000610352,245.220001220703,244.529998779297,245.020004272461,202,245.020004272461,2021-02-17
244.740005493164,244.800003051758,243.529998779297,243.619995117188,6885,243.619995117188,2021-02-18
243.490005493164,243.600006103516,243.419998168945,243.550003051758,132,243.550003051758,2021-02-19
243.130004882812,244.300003051758,243.130004882812,244.350006103516,87,244.350006103516,2021-02-22
243.660003662109,243.660003662109,242.699996948242,243.229995727539,1562,243.229995727539,2021-02-23
243.470001220703,243.509994506836,241.899993896484,242.449996948242,1566,242.449996948242,2021-02-24
241.690002441406,241.850006103516,240.5,240.5,429,240.5,2021-02-25
240.669998168945,241.880004882812,240.669998168945,241.570007324219,1012,241.570007324219,2021-02-26
242.5,243.710006713867,242.5,243.899993896484,432,243.899993896484,2021-03-01
243.910003662109,243.910003662109,242.960006713867,243.809997558594,49,243.809997558594,2021-03-02
243.800003051758,243.800003051758,242.039993286133,242.220001220703,7450,242.220001220703,2021-03-03
242.880004882812,242.880004882812,242.240005493164,242.5,244,242.5,2021-03-04
242.279998779297,242.360000610352,241.949996948242,242.330001831055,222,242.330001831055,2021-03-05
242.309997558594,242.660003662109,242.050003051758,242.070007324219,926,242.070007324219,2021-03-08
242.539993286133,243.460006713867,242.539993286133,242.889999389648,96,242.889999389648,2021-03-09
242.679992675781,243.320007324219,242.679992675781,243.100006103516,27,243.100006103516,2021-03-10
243.880004882812,244.899993896484,243.460006713867,244.320007324219,1515,244.320007324219,2021-03-11
243.550003051758,243.550003051758,243.059997558594,243.210006713867,127,243.210006713867,2021-03-12
244.050003051758,244.050003051758,243.440002441406,244.070007324219,323,244.070007324219,2021-03-15
244.089996337891,244.089996337891,244.089996337891,243.839996337891,4,243.839996337891,2021-03-16
242.380004882812,242.389999389648,242.149993896484,242.389999389648,575,242.389999389648,2021-03-17
241.600006103516,241.779998779297,241.539993286133,241.929992675781,321,241.929992675781,2021-03-18
242.699996948242,242.699996948242,242.389999389648,242.600006103516,33,242.600006103516,2021-03-19
243.110000610352,243.110000610352,242.889999389648,242.860000610352,27,242.860000610352,2021-03-22
243.320007324219,243.869995117188,243.320007324219,243.889999389648,64,243.889999389648,2021-03-23
243.949996948242,243.949996948242,243.949996948242,244.289993286133,1,244.289993286133,2021-03-24
244.490005493164,244.580001831055,244.490005493164,244.779998779297,51,244.779998779297,2021-03-25
244.080001831055,244.080001831055,244.080001831055,244.039993286133,25,244.039993286133,2021-03-26
243.470001220703,243.470001220703,243.470001220703,243.240005493164,63,243.240005493164,2021-03-29
242.570007324219,242.570007324219,242.179992675781,242.320007324219,3677,242.320007324219,2021-03-30
242.899993896484,242.899993896484,242.800003051758,242.789993286133,100,242.789993286133,2021-03-31
