"ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume","ADBE.Adjusted","Date"
424.149993896484,440.630004882812,423.579986572266,439.029998779297,6062800,439.029998779297,2023-06-08
456.910003662109,466.589996337891,453.089996337891,454,7928300,454,2023-06-09
463.709991455078,478.040008544922,459.420013427734,474.630004882812,6913700,474.630004882812,2023-06-12
489.709991455078,491.510009765625,470.359985351562,478.989990234375,7412500,478.989990234375,2023-06-13
476.149993896484,483.850006103516,473.200012207031,479.529998779297,5150100,479.529998779297,2023-06-14
475.470001220703,495.200012207031,474.25,490.910003662109,9682200,490.910003662109,2023-06-15
518.22998046875,518.739990234375,494.619995117188,495.179992675781,13343800,495.179992675781,2023-06-16
485.630004882812,492.690002441406,480,485.859985351562,5331200,485.859985351562,2023-06-20
492,495.549987792969,475.309997558594,477.480010986328,5258700,477.480010986328,2023-06-21
474.119995117188,481,473.019989013672,477.579986572266,3601400,477.579986572266,2023-06-22
472.950012207031,487.329986572266,472.320007324219,484.720001220703,4481500,484.720001220703,2023-06-23
483.010009765625,487.160003662109,479.049987792969,479.510009765625,3169500,479.510009765625,2023-06-26
480,490.799987792969,479.950012207031,489.269989013672,2691700,489.269989013672,2023-06-27
482,489.75,480.390014648438,482.429992675781,3229200,482.429992675781,2023-06-28
484.470001220703,485.829986572266,479.600006103516,483.769989013672,1905400,483.769989013672,2023-06-29
482.739990234375,492.809997558594,482.720001220703,488.989990234375,3096600,488.989990234375,2023-06-30
486.390014648438,486.609985351562,479.839996337891,485.209991455078,1491000,485.209991455078,2023-07-03
480.989990234375,489.410003662109,479.730010986328,487.260009765625,2190000,487.260009765625,2023-07-05
479.989990234375,482.5,475,481.290008544922,2100900,481.290008544922,2023-07-06
481.980010986328,490.420013427734,479.859985351562,485.269989013672,2325000,485.269989013672,2023-07-07
485.269989013672,499.200012207031,485.109985351562,496.350006103516,3352600,496.350006103516,2023-07-10
497.279998779297,506.029998779297,491.760009765625,504.739990234375,2842600,504.739990234375,2023-07-11
509.410003662109,510.790008544922,500.010009765625,507.359985351562,3027400,507.359985351562,2023-07-12
509.619995117188,519.409973144531,509.5,517.280029296875,3049400,517.280029296875,2023-07-13
