"MELI.Open","MELI.High","MELI.Low","MELI.Close","MELI.Volume","MELI.Adjusted","Date"
1200.02001953125,1221.07995605469,1195.53002929688,1218.30004882812,252900,1218.30004882812,2020-08-20
1211,1221.06005859375,1200,1202.28002929688,291400,1202.28002929688,2020-08-21
1217,1231.58996582031,1198.66003417969,1212.08996582031,278900,1212.08996582031,2020-08-24
1210.38000488281,1233.98999023438,1200.30004882812,1224,274400,1224,2020-08-25
1230.06005859375,1244.15002441406,1208.2099609375,1215.93005371094,463600,1215.93005371094,2020-08-26
1224.72998046875,1225.07995605469,1199,1201.40002441406,253300,1201.40002441406,2020-08-27
1208.01000976562,1220.06005859375,1172.85998535156,1178.90002441406,587200,1178.90002441406,2020-08-28
1174.75,1176.30004882812,1128.56005859375,1168.58996582031,705900,1168.58996582031,2020-08-31
1200,1222.68005371094,1195.63000488281,1209.26000976562,671300,1209.26000976562,2020-09-01
1221.10998535156,1225,1171.63000488281,1195.9599609375,717600,1195.9599609375,2020-09-02
1168.47998046875,1177.38000488281,1067.92004394531,1087.11999511719,1097600,1087.11999511719,2020-09-03
1085.01000976562,1102.2900390625,1000,1083.38000488281,899700,1083.38000488281,2020-09-04
1015.08001708984,1078.69995117188,1014.53997802734,1022.53002929688,714200,1022.53002929688,2020-09-08
1065.81005859375,1070.52001953125,1030.09997558594,1057.33996582031,667800,1057.33996582031,2020-09-09
1069.73999023438,1090.81994628906,1030.18994140625,1040.98999023438,689100,1040.98999023438,2020-09-10
1046.34997558594,1055,1015.48999023438,1032.97998046875,405300,1032.97998046875,2020-09-11
1056,1065,1026.22998046875,1036.77001953125,449400,1036.77001953125,2020-09-14
1051.94995117188,1054.7099609375,1015,1029.98999023438,451300,1029.98999023438,2020-09-15
1035,1048.81005859375,1000.51000976562,1003,462900,1003,2020-09-16
979.989990234375,995.820007324219,959.869995117188,980.150024414062,737900,980.150024414062,2020-09-17
987.030029296875,1005.54998779297,970.849975585938,998.059997558594,609700,998.059997558594,2020-09-18
984.390014648438,1012.14001464844,966.739990234375,1011.98999023438,423600,1011.98999023438,2020-09-21
1023,1061.91003417969,1011.01000976562,1060.96997070312,626800,1060.96997070312,2020-09-22
1072.71997070312,1072.71997070312,1010.59997558594,1020.96002197266,547300,1020.96002197266,2020-09-23
1003.63000488281,1048.93994140625,986.830017089844,1034.63000488281,553700,1034.63000488281,2020-09-24
1034.06005859375,1068.39001464844,1018.40997314453,1062,419500,1062,2020-09-25
1101.56994628906,1107.85998535156,1070,1093.43005371094,472400,1093.43005371094,2020-09-28
1095.43005371094,1095.43005371094,1068,1082.86999511719,235000,1082.86999511719,2020-09-29
1085,1098,1076.65002441406,1082.47998046875,347900,1082.47998046875,2020-09-30
1097.98999023438,1117.85998535156,1095.91003417969,1115.33996582031,423900,1115.33996582031,2020-10-01
1083.55004882812,1105,1063.69995117188,1079.32995605469,405300,1079.32995605469,2020-10-02
1085.78002929688,1097.60998535156,1079.07995605469,1090.57995605469,315100,1090.57995605469,2020-10-05
1086.7900390625,1116.65002441406,1085.01000976562,1091.39001464844,412500,1091.39001464844,2020-10-06
1105.69995117188,1149,1094.85998535156,1145,555600,1145,2020-10-07
1158.5400390625,1173.43005371094,1150.71997070312,1160.36999511719,448200,1160.36999511719,2020-10-08
1165.13000488281,1202.98999023438,1162.80004882812,1199.83996582031,455200,1199.83996582031,2020-10-09
1236.22998046875,1239,1201.89001464844,1215.75,542100,1215.75,2020-10-12
1227.83996582031,1280.43994140625,1202.22998046875,1269.17004394531,583400,1269.17004394531,2020-10-13
1270,1283.9599609375,1217.17004394531,1238.69995117188,605400,1238.69995117188,2020-10-14
1212.13000488281,1261.92004394531,1206,1257.89001464844,468100,1257.89001464844,2020-10-15
1269.89001464844,1280.52001953125,1258.05004882812,1271.38000488281,363800,1271.38000488281,2020-10-16
1273,1298.81005859375,1266.78002929688,1284.05004882812,645100,1284.05004882812,2020-10-19
1297.98999023438,1378.5,1295.01000976562,1333.66003417969,741600,1333.66003417969,2020-10-20
1333.43005371094,1374.93005371094,1286.77001953125,1299.13000488281,708200,1299.13000488281,2020-10-21
1293.67004394531,1316,1269.40002441406,1294.31994628906,377400,1294.31994628906,2020-10-22
1300.01000976562,1312.67004394531,1282.73999023438,1312.16003417969,262100,1312.16003417969,2020-10-23
1303.07995605469,1327.39001464844,1255.39001464844,1281.43994140625,346400,1281.43994140625,2020-10-26
1285.94995117188,1293.81005859375,1267.09997558594,1282.46997070312,328200,1282.46997070312,2020-10-27
1248,1285.98999023438,1237.4599609375,1273.58996582031,325100,1273.58996582031,2020-10-28
1288.88000488281,1314.77001953125,1267.93005371094,1300.97998046875,394500,1300.97998046875,2020-10-29
1279.41003417969,1292.78002929688,1195.01000976562,1214.05004882812,620100,1214.05004882812,2020-10-30
1229.44995117188,1252,1192.14001464844,1215.85998535156,406600,1215.85998535156,2020-11-02
1220,1242.77001953125,1196.63000488281,1233.96997070312,334800,1233.96997070312,2020-11-03
1282,1321.16003417969,1275,1315.68994140625,610100,1315.68994140625,2020-11-04
1405.09997558594,1460,1372.76000976562,1437.80004882812,902200,1437.80004882812,2020-11-05
1433.97998046875,1490.67004394531,1395.68005371094,1485.85998535156,567700,1485.85998535156,2020-11-06
1445.51000976562,1450.43005371094,1330,1330.71997070312,961700,1330.71997070312,2020-11-09
1325.88000488281,1325.93005371094,1219.14001464844,1226.03002929688,1031200,1226.03002929688,2020-11-10
1274.39001464844,1339.09997558594,1267.52001953125,1304.48999023438,699700,1304.48999023438,2020-11-11
1315,1355,1293.56005859375,1296,631800,1296,2020-11-12
1321.72998046875,1335.4599609375,1285.4599609375,1301.66003417969,446100,1301.66003417969,2020-11-13
1286.55004882812,1311.90002441406,1275.89001464844,1286.31005859375,445800,1286.31005859375,2020-11-16
1298.0400390625,1312.53002929688,1283,1300.81005859375,4e+05,1300.81005859375,2020-11-17
1305.31005859375,1327.41003417969,1290.89001464844,1318.08996582031,498300,1318.08996582031,2020-11-18
1324.9599609375,1383.9599609375,1312.31005859375,1370.30004882812,484900,1370.30004882812,2020-11-19
1372.93005371094,1423.96997070312,1365.57995605469,1416.98999023438,615200,1416.98999023438,2020-11-20
1431.46997070312,1458.09997558594,1413.98999023438,1451.77001953125,638800,1451.77001953125,2020-11-23
