"CHTR.Open","CHTR.High","CHTR.Low","CHTR.Close","CHTR.Volume","CHTR.Adjusted","Date"
605.820007324219,618.119995117188,598.969970703125,601.549987792969,1358900,601.549987792969,2021-02-25
602.489990234375,627.380004882812,601.5,613.419982910156,1619400,613.419982910156,2021-02-26
618.390014648438,624.070007324219,610.010009765625,619.679992675781,895300,619.679992675781,2021-03-01
622.409973144531,624.5,611.25,616.070007324219,984800,616.070007324219,2021-03-02
612.010009765625,613.719970703125,599.900024414062,601.02001953125,1785500,601.02001953125,2021-03-03
599,618.659973144531,598.010009765625,607.640014648438,1500300,607.640014648438,2021-03-04
614,629.700012207031,609.659973144531,624.030029296875,1513300,624.030029296875,2021-03-05
621.739990234375,630.200012207031,611.570007324219,612.380004882812,1123900,612.380004882812,2021-03-08
620.349975585938,620.349975585938,610.97998046875,614.77001953125,1022500,614.77001953125,2021-03-09
625.440002441406,639.280029296875,618.960021972656,629.070007324219,1472300,629.070007324219,2021-03-10
626.330017089844,630.669982910156,613,624.22998046875,1441500,624.22998046875,2021-03-11
618.989990234375,629.210021972656,611.380004882812,624.150024414062,1410200,624.150024414062,2021-03-12
624.419982910156,625.849975585938,612.02001953125,625,1149400,625,2021-03-15
629.619995117188,643.510009765625,625.619995117188,639.650024414062,1147800,639.650024414062,2021-03-16
643.789978027344,644.22998046875,633.840026855469,641.859985351562,1202200,641.859985351562,2021-03-17
628.280029296875,635.419982910156,617.309997558594,629.390014648438,1550600,629.390014648438,2021-03-18
632.809997558594,636.859985351562,626.840026855469,629.739990234375,2776800,629.739990234375,2021-03-19
627.640014648438,643.960021972656,627.640014648438,637.619995117188,1159600,637.619995117188,2021-03-22
639.809997558594,656.650024414062,636.880004882812,645.450012207031,1271500,645.450012207031,2021-03-23
647.450012207031,657.840026855469,642.809997558594,651.559997558594,1137300,651.559997558594,2021-03-24
652.030029296875,652.030029296875,631.02001953125,637.789978027344,1024400,637.789978027344,2021-03-25
636.72998046875,639.030029296875,621.559997558594,631.75,1275900,631.75,2021-03-26
