"BKNG.Open","BKNG.High","BKNG.Low","BKNG.Close","BKNG.Volume","BKNG.Adjusted","Date"
2078.21997070312,2105.82006835938,2055.01000976562,2098.05004882812,314700,2068.22265625,2020-12-15
2118.19995117188,2118.19995117188,2077.39990234375,2098.7099609375,238600,2068.87329101562,2020-12-16
2117.94995117188,2126.94995117188,2070.52001953125,2113.42993164062,295300,2083.38354492188,2020-12-17
2118.75,2118.75,2087.92993164062,2099.64990234375,536200,2069.7998046875,2020-12-18
2050,2071.82006835938,2024.02001953125,2068.19995117188,357100,2038.79675292969,2020-12-21
2068.35009765625,2069.36010742188,2031.39001464844,2052.82006835938,198800,2023.63586425781,2020-12-22
2055.38989257812,2114.14990234375,2050.42993164062,2100.85009765625,314700,2070.98266601562,2020-12-23
2119,2119,2081,2088.35009765625,182500,2058.66064453125,2020-12-24
2129.44995117188,2152.26000976562,2124.4599609375,2137.919921875,251000,2107.52563476562,2020-12-28
2165.97998046875,2200,2153.9599609375,2185.39990234375,341900,2154.33056640625,2020-12-29
2200,2214.01000976562,2174.96997070312,2205.26000976562,229700,2173.90844726562,2020-12-30
2198.07006835938,2227.96997070312,2185,2227.27001953125,176600,2195.60546875,2020-12-31
2250,2257.18994140625,2121.2099609375,2164.080078125,334000,2133.31420898438,2021-01-04
2164,2225.93994140625,2154.56005859375,2188.07006835938,348200,2156.962890625,2021-01-05
2175.88989257812,2288.48999023438,2160,2249.81005859375,393400,2217.8251953125,2021-01-06
2278.14990234375,2288,2219.77001953125,2239.85009765625,299700,2208.0068359375,2021-01-07
2256.34008789062,2289.97998046875,2248.46997070312,2281.5400390625,310500,2249.10400390625,2021-01-08
2252.42993164062,2290.0400390625,2214.03002929688,2221.27001953125,320600,2189.69067382812,2021-01-11
2237.36010742188,2243.63989257812,2191.6298828125,2196.34008789062,259400,2165.11499023438,2021-01-12
2168.39990234375,2208.080078125,2168.39990234375,2182.419921875,239600,2151.39306640625,2021-01-13
2185.27001953125,2215.78002929688,2178.77001953125,2182.59008789062,273100,2151.560546875,2021-01-14
2179.2900390625,2179.2900390625,2116,2119.22998046875,340800,2089.1015625,2021-01-15
2135,2169.94995117188,2108.9599609375,2163.0400390625,274900,2132.28833007812,2021-01-19
2179.97998046875,2179.97998046875,2124.56005859375,2160.05004882812,339000,2129.34106445312,2021-01-20
2140.89990234375,2157.01000976562,2105,2109.93994140625,460800,2079.94360351562,2021-01-21
2101.830078125,2109.51000976562,2065,2066.23999023438,356700,2036.86474609375,2021-01-22
2044.85998535156,2060.35009765625,1947.08996582031,2018.43005371094,879500,1989.73461914062,2021-01-25
2033.36999511719,2056.72998046875,1974.65002441406,1983.16003417969,447600,1954.96606445312,2021-01-26
1949.32995605469,1975.9599609375,1860.72998046875,1886.08996582031,705600,1859.27600097656,2021-01-27
1979.0400390625,2048.77001953125,1935.88000488281,2034.09997558594,843300,2005.18176269531,2021-01-28
2036,2040,1938.80004882812,1944.32995605469,536200,1916.68774414062,2021-01-29
1996.18994140625,2006.38000488281,1965,1990.4599609375,478700,1962.162109375,2021-02-01
2035,2112.90991210938,2025.41003417969,2065.53002929688,440700,2036.16491699219,2021-02-02
2079.53002929688,2094.80004882812,2024.71997070312,2027.30004882812,352600,1998.47839355469,2021-02-03
2036.18994140625,2085.89990234375,2015.66003417969,2082.93994140625,355200,2053.3271484375,2021-02-04
2109.2900390625,2129.98999023438,2073.8798828125,2096.419921875,238400,2066.61572265625,2021-02-05
2117.05004882812,2131.65991210938,2070.7900390625,2099.56005859375,219000,2069.71118164062,2021-02-08
2082.8798828125,2104.85009765625,2051.63989257812,2085.28002929688,229700,2055.63427734375,2021-02-09
2116.30004882812,2161.2099609375,2091.17993164062,2141.76000976562,334100,2111.3115234375,2021-02-10
2145.34008789062,2183.65991210938,2132.84008789062,2159.26000976562,258300,2128.5625,2021-02-11
2126.35009765625,2188.98999023438,2110.01000976562,2150.580078125,210600,2120.005859375,2021-02-12
2139.18994140625,2198.03002929688,2133.7099609375,2184.15991210938,242400,2153.1083984375,2021-02-16
2183.38989257812,2237.94995117188,2174.14990234375,2233.77001953125,287700,2202.01318359375,2021-02-17
2190.03002929688,2275.90991210938,2190.03002929688,2259.7900390625,317000,2227.6630859375,2021-02-18
2273,2322.0400390625,2259.85009765625,2293.05004882812,353500,2260.45043945312,2021-02-19
2265.669921875,2392.96997070312,2265.669921875,2350.02001953125,504100,2316.61059570312,2021-02-22
2348.36010742188,2367,2292.169921875,2359.3701171875,515300,2325.82763671875,2021-02-23
2343.77001953125,2450.26000976562,2324.17993164062,2443.5,610000,2408.76098632812,2021-02-24
2419.92993164062,2438.94995117188,2261.46997070312,2273.19995117188,751800,2240.88232421875,2021-02-25
2343.89990234375,2345,2251.7099609375,2328.51000976562,503900,2295.40625,2021-02-26
2372.98999023438,2382.30004882812,2300.2099609375,2320.5,359900,2287.51025390625,2021-03-01
2338,2342,2275,2282.2099609375,310000,2249.76440429688,2021-03-02
