"MEUD.MI.Open","MEUD.MI.High","MEUD.MI.Low","MEUD.MI.Close","MEUD.MI.Volume","MEUD.MI.Adjusted","Date"
241.649993896484,242.550003051758,241.600006103516,242.550003051758,8782,242.550003051758,2024-12-05
242.600006103516,243.600006103516,242.25,243.100006103516,20396,243.100006103516,2024-12-06
244.149993896484,244.149993896484,243,243.5,10149,243.5,2024-12-09
242.850006103516,243.25,242,242.149993896484,4091,242.149993896484,2024-12-10
241.75,243,241.449996948242,242.649993896484,3859,242.649993896484,2024-12-11
243.350006103516,243.350006103516,242.300003051758,242.449996948242,13683,242.449996948242,2024-12-12
242.25,242.600006103516,240.850006103516,241.300003051758,5529,241.300003051758,2024-12-13
241.149993896484,241.300003051758,240.300003051758,240.899993896484,8490,240.899993896484,2024-12-16
239.699996948242,240.399993896484,239.350006103516,240,2506,240,2024-12-17
240.350006103516,240.800003051758,240,240.350006103516,5275,240.350006103516,2024-12-18
237.5,238.399993896484,236.350006103516,236.899993896484,5382,236.899993896484,2024-12-19
235.399993896484,235.399993896484,232.25,235.100006103516,10166,235.100006103516,2024-12-20
234.600006103516,235.75,234.399993896484,235.300003051758,6696,235.300003051758,2024-12-23
235.100006103516,237,235.100006103516,237,6560,237,2024-12-27
236.399993896484,236.800003051758,235,235.949996948242,11907,235.949996948242,2024-12-30
238.199996948242,239.100006103516,236.5,239.050003051758,8540,239.050003051758,2025-01-02
238.850006103516,238.850006103516,237.300003051758,237.800003051758,4941,237.800003051758,2025-01-03
238.5,240.25,237.850006103516,240.25,7574,240.25,2025-01-06
239.699996948242,241.149993896484,239.050003051758,240.600006103516,4634,240.600006103516,2025-01-07
240.899993896484,241.75,238.899993896484,240.149993896484,5166,240.149993896484,2025-01-08
239.350006103516,241.449996948242,239.350006103516,241.199996948242,2669,241.199996948242,2025-01-09
240.949996948242,241.350006103516,239.199996948242,239.25,5293,239.25,2025-01-10
238.199996948242,238.300003051758,236.949996948242,238.050003051758,16976,238.050003051758,2025-01-13
239.25,239.550003051758,237.649993896484,237.800003051758,13683,237.800003051758,2025-01-14
238.5,241.300003051758,238.399993896484,240.899993896484,11222,240.899993896484,2025-01-15
242.899993896484,243.350006103516,242.050003051758,243.350006103516,4458,243.350006103516,2025-01-16
244.25,245.350006103516,244.25,245,6964,245,2025-01-17
245.25,245.800003051758,244.449996948242,245.149993896484,5866,245.149993896484,2025-01-20
245.050003051758,246.100006103516,245,246,10618,246,2025-01-21
246.850006103516,248,246.5,246.949996948242,8679,246.949996948242,2025-01-22
246.699996948242,248.050003051758,246.550003051758,248.050003051758,10759,248.050003051758,2025-01-23
248.850006103516,249.300003051758,247.399993896484,247.850006103516,12985,247.850006103516,2025-01-24
