"C3M.MI.Open","C3M.MI.High","C3M.MI.Low","C3M.MI.Close","C3M.MI.Volume","C3M.MI.Adjusted","Date"
117.169998168945,117.180000305176,117.129997253418,117.110000610352,2070,117.110000610352,2020-06-25
117.169998168945,117.180000305176,117.120002746582,117.180000305176,6439,117.180000305176,2020-06-26
117.120002746582,117.169998168945,117.110000610352,117.139999389648,1708,117.139999389648,2020-06-29
117.160003662109,117.169998168945,117.110000610352,117.169998168945,11081,117.169998168945,2020-06-30
117.190002441406,117.190002441406,117.110000610352,117.129997253418,2299,117.129997253418,2020-07-01
117.139999389648,117.160003662109,117.110000610352,117.129997253418,2757,117.129997253418,2020-07-02
117.110000610352,117.129997253418,117.099998474121,117.099998474121,3273,117.099998474121,2020-07-03
117.099998474121,117.139999389648,117.099998474121,117.120002746582,1923,117.120002746582,2020-07-06
117.099998474121,117.150001525879,117.099998474121,117.120002746582,5531,117.120002746582,2020-07-07
117.110000610352,117.160003662109,117.099998474121,117.129997253418,1407,117.129997253418,2020-07-08
117.099998474121,117.139999389648,117.089996337891,117.139999389648,5264,117.139999389648,2020-07-09
117.089996337891,117.139999389648,117.089996337891,117.139999389648,2297,117.139999389648,2020-07-10
117.089996337891,117.089996337891,117.089996337891,117.110000610352,461,117.110000610352,2020-07-13
117.129997253418,117.139999389648,117.080001831055,117.110000610352,1813,117.110000610352,2020-07-14
117.089996337891,117.139999389648,117.080001831055,117.139999389648,3605,117.139999389648,2020-07-15
117.089996337891,117.139999389648,117.080001831055,117.139999389648,4039,117.139999389648,2020-07-16
117.089996337891,117.139999389648,117.089996337891,117.110000610352,2102,117.110000610352,2020-07-17
117.080001831055,117.139999389648,117.080001831055,117.139999389648,1550,117.139999389648,2020-07-20
117.040000915527,117.129997253418,117.040000915527,117.110000610352,2681,117.110000610352,2020-07-21
117.050003051758,117.129997253418,117.050003051758,117.099998474121,788,117.099998474121,2020-07-22
117.120002746582,117.129997253418,117.069999694824,117.099998474121,3644,117.099998474121,2020-07-23
117.099998474121,117.110000610352,117.069999694824,117.099998474121,1201,117.099998474121,2020-07-24
117.120002746582,117.120002746582,117.069999694824,117.069999694824,26253,117.069999694824,2020-07-27
117.029998779297,117.110000610352,117.029998779297,117.080001831055,2040,117.080001831055,2020-07-28
117.059997558594,117.080001831055,117.059997558594,117.069999694824,1060,117.069999694824,2020-07-29
117.059997558594,117.099998474121,117.059997558594,117.059997558594,3129,117.059997558594,2020-07-30
117.099998474121,117.110000610352,117.059997558594,117.059997558594,2305,117.059997558594,2020-07-31
117.099998474121,117.110000610352,117.059997558594,117.089996337891,2170,117.089996337891,2020-08-03
117.099998474121,117.120002746582,117.059997558594,117.089996337891,5592,117.089996337891,2020-08-04
117.099998474121,117.110000610352,117.059997558594,117.080001831055,2052,117.080001831055,2020-08-05
117.099998474121,117.110000610352,117.050003051758,117.080001831055,6358,117.080001831055,2020-08-06
117.099998474121,117.110000610352,117.050003051758,117.110000610352,1364,117.110000610352,2020-08-07
117.099998474121,117.110000610352,117.050003051758,117.080001831055,389,117.080001831055,2020-08-10
117.099998474121,117.110000610352,117.050003051758,117.080001831055,1070,117.080001831055,2020-08-11
117.089996337891,117.099998474121,117.050003051758,117.069999694824,832,117.069999694824,2020-08-12
117.040000915527,117.089996337891,117.029998779297,117.029998779297,471,117.029998779297,2020-08-13
117.040000915527,117.080001831055,117.029998779297,117.129997253418,1981,117.129997253418,2020-08-14
117.040000915527,117.089996337891,117.029998779297,117.089996337891,424,117.089996337891,2020-08-17
117.080001831055,117.089996337891,117.080001831055,117.059997558594,655,117.059997558594,2020-08-18
117.069999694824,117.069999694824,117.019996643066,117.050003051758,225,117.050003051758,2020-08-19
117.069999694824,117.080001831055,117.019996643066,117.050003051758,355,117.050003051758,2020-08-20
117.029998779297,117.080001831055,117.019996643066,117.080001831055,718,117.080001831055,2020-08-21
117,117.069999694824,117,117.050003051758,690,117.050003051758,2020-08-24
117.059997558594,117.069999694824,117.01000213623,117.040000915527,602,117.040000915527,2020-08-25
117.050003051758,117.069999694824,117.050003051758,117.059997558594,2868,117.059997558594,2020-08-26
117.019996643066,117.069999694824,117.019996643066,117.040000915527,294,117.040000915527,2020-08-27
117.019996643066,117.069999694824,117.019996643066,117.069999694824,27091,117.069999694824,2020-08-28
117.01000213623,117.089996337891,117.01000213623,117.040000915527,350,117.040000915527,2020-08-31
117,117,117,117.029998779297,628,117.029998779297,2020-09-01
116.98999786377,117.040000915527,116.98999786377,117.019996643066,19345,117.019996643066,2020-09-02
117.040000915527,117.040000915527,116.98999786377,116.980003356934,3846,116.980003356934,2020-09-03
116.98999786377,117.050003051758,116.98999786377,117.050003051758,1194,117.050003051758,2020-09-04
117.019996643066,117.019996643066,116.98999786377,117.01000213623,1036,117.01000213623,2020-09-07
117.040000915527,117.040000915527,116.980003356934,117.01000213623,867,117.01000213623,2020-09-08
116.980003356934,117.040000915527,116.980003356934,117,7661,117,2020-09-09
116.949996948242,117.059997558594,116.949996948242,117.01000213623,4920,117.01000213623,2020-09-10
116.970001220703,117.029998779297,116.970001220703,117.029998779297,677,117.029998779297,2020-09-11
117.029998779297,117.029998779297,116.970001220703,117,604,117,2020-09-14
117.029998779297,117.029998779297,117,117.019996643066,7601,117.019996643066,2020-09-15
116.970001220703,116.98999786377,116.970001220703,116.970001220703,2513,116.970001220703,2020-09-16
116.959999084473,117.019996643066,116.959999084473,117,2593,117,2020-09-17
117.01000213623,117.019996643066,116.959999084473,117.019996643066,3901,117.019996643066,2020-09-18
117.01000213623,117.01000213623,116.959999084473,116.959999084473,3468,116.959999084473,2020-09-21
117.01000213623,117.01000213623,116.949996948242,116.980003356934,16934,116.980003356934,2020-09-22
117.01000213623,117.01000213623,116.949996948242,116.980003356934,384,116.980003356934,2020-09-23
117.01000213623,117.01000213623,116.949996948242,116.980003356934,12657,116.980003356934,2020-09-24
117.01000213623,117.01000213623,116.949996948242,117.01000213623,901,117.01000213623,2020-09-25
117.01000213623,117.01000213623,116.949996948242,116.980003356934,714,116.980003356934,2020-09-28
116.949996948242,116.98999786377,116.940002441406,116.949996948242,1041,116.949996948242,2020-09-29
116.98999786377,117,116.940002441406,116.949996948242,2428,116.949996948242,2020-09-30
116.949996948242,117,116.940002441406,116.970001220703,5253,116.970001220703,2020-10-01
116.98999786377,117,116.940002441406,117,2151,117,2020-10-02
116.930000305176,116.98999786377,116.930000305176,116.959999084473,3266,116.959999084473,2020-10-05
116.940002441406,116.98999786377,116.930000305176,116.959999084473,8735,116.959999084473,2020-10-06
116.930000305176,116.98999786377,116.930000305176,116.959999084473,1910,116.959999084473,2020-10-07
116.930000305176,116.98999786377,116.930000305176,116.919998168945,1536,116.919998168945,2020-10-08
116.959999084473,116.959999084473,116.930000305176,116.959999084473,1707,116.959999084473,2020-10-09
116.980003356934,116.980003356934,116.930000305176,116.930000305176,1980,116.930000305176,2020-10-12
116.930000305176,116.970001220703,116.930000305176,116.940002441406,1599,116.940002441406,2020-10-13
116.980003356934,116.98999786377,116.930000305176,116.959999084473,3237,116.959999084473,2020-10-14
116.930000305176,116.980003356934,116.919998168945,116.949996948242,1804,116.949996948242,2020-10-15
116.930000305176,116.980003356934,116.919998168945,116.980003356934,2574,116.980003356934,2020-10-16
