"GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted","Date"
205,206.289993286133,203.830001831055,204.25,1882400,180.194107055664,2020-08-06
203.479995727539,208.800003051758,202.449996948242,208.270004272461,3075000,183.740615844727,2020-08-07
209.589996337891,210.639999389648,208.039993286133,209.380004882812,2432800,184.719924926758,2020-08-10
212.720001220703,216.949996948242,210.529998779297,211.059997558594,4042700,186.202011108398,2020-08-11
214.699996948242,215.949996948242,209.270004272461,212.130004882812,2439400,187.146026611328,2020-08-12
210.410003662109,212.199996948242,207.690002441406,208.389999389648,2219900,183.846466064453,2020-08-13
207.460006713867,209.479995727539,206.610000610352,207.970001220703,2287600,183.475967407227,2020-08-14
207,207.850006103516,202.529998779297,203.070007324219,3922600,179.153060913086,2020-08-17
203.449996948242,203.580001831055,201.100006103516,201.309997558594,3067900,177.600357055664,2020-08-18
202.399993896484,206.100006103516,201.770004272461,203.020004272461,2458500,179.108963012695,2020-08-19
200.759994506836,203.279998779297,200.339996337891,201.850006103516,1764200,178.076766967773,2020-08-20
200.110000610352,203.350006103516,199.820007324219,202.429992675781,1780900,178.588455200195,2020-08-21
203.110000610352,207.429992675781,201.320007324219,207.339996337891,3097400,182.920135498047,2020-08-24
209.990005493164,210.490005493164,205.169998168945,206,2627600,181.73796081543,2020-08-25
205.889999389648,207.279998779297,205.029998779297,207.220001220703,2563200,182.814300537109,2020-08-26
206.679992675781,213,206.410003662109,210.149993896484,3692400,185.399185180664,2020-08-27
211.889999389648,212,207.089996337891,207.710006713867,3697400,183.246551513672,2020-08-28
205.5,206.410003662109,203.630004882812,204.869995117188,3046200,181.835327148438,2020-08-31
203.600006103516,206.710006713867,203.009994506836,205.460006713867,2457000,182.358993530273,2020-09-01
205.789993286133,210.929992675781,205.369995117188,210.039993286133,3565200,186.424057006836,2020-09-02
211.75,215.229995727539,205.830001831055,207.559997558594,3533500,184.222885131836,2020-09-03
210.889999389648,213.350006103516,205.320007324219,210.940002441406,3668900,187.222854614258,2020-09-04
209.509994506836,209.960006713867,201.270004272461,202.479995727539,4574700,179.714065551758,2020-09-08
