"XGLE.MI.Open","XGLE.MI.High","XGLE.MI.Low","XGLE.MI.Close","XGLE.MI.Volume","XGLE.MI.Adjusted","Date"
250.419998168945,251.25,250.070007324219,250.070007324219,2456,250.070007324219,2020-06-22
251.350006103516,251.350006103516,249.490005493164,250.190002441406,1592,250.190002441406,2020-06-23
249.740005493164,250.830001831055,249.699996948242,250.440002441406,760,250.440002441406,2020-06-24
250.970001220703,251.199996948242,250.600006103516,251.039993286133,976,251.039993286133,2020-06-25
251.350006103516,251.770004272461,251.050003051758,251.5,1886,251.5,2020-06-26
251.210006713867,251.309997558594,250.729995727539,251.070007324219,938,251.070007324219,2020-06-29
251.589996337891,251.639999389648,250.889999389648,251.240005493164,2375,251.240005493164,2020-06-30
250.190002441406,251.360000610352,249.639999389648,250,1357,250,2020-07-01
250.289993286133,251.25,250.210006713867,250.75,3469,250.75,2020-07-02
251.169998168945,251.550003051758,250.960006713867,251.25,1790,251.25,2020-07-03
250.800003051758,251.830001831055,250.160003662109,251.509994506836,3029,251.509994506836,2020-07-06
251.309997558594,252.029998779297,250.990005493164,252.029998779297,534,252.029998779297,2020-07-07
251.5,252.300003051758,251.410003662109,252.300003051758,6904,252.300003051758,2020-07-08
251.550003051758,251.970001220703,251.5,251.699996948242,1151,251.699996948242,2020-07-09
251.960006713867,252.529998779297,251.929992675781,252.520004272461,4262,252.520004272461,2020-07-10
251.690002441406,251.929992675781,250.789993286133,251.339996337891,5319,251.339996337891,2020-07-13
251.75,251.830001831055,251.259994506836,251.830001831055,4067,251.830001831055,2020-07-14
252,252.169998168945,251.429992675781,252.169998168945,1782,252.169998168945,2020-07-15
251.529998779297,252.770004272461,251.410003662109,251.970001220703,812,251.970001220703,2020-07-16
251.979995727539,252.649993896484,251.710006713867,252.289993286133,1182,252.289993286133,2020-07-17
252.350006103516,253.119995117188,251.220001220703,252.639999389648,3125,252.639999389648,2020-07-20
252.839996337891,253.490005493164,252.449996948242,252.809997558594,3697,252.809997558594,2020-07-21
253.279998779297,253.669998168945,252.800003051758,253.289993286133,2748,253.289993286133,2020-07-22
253.399993896484,253.589996337891,252.789993286133,253.419998168945,836,253.419998168945,2020-07-23
253.809997558594,253.809997558594,252.460006713867,253.429992675781,984,253.429992675781,2020-07-24
252.899993896484,253.589996337891,252.899993896484,253.649993896484,1691,253.649993896484,2020-07-27
253.869995117188,254.240005493164,253.330001831055,253.649993896484,777,253.649993896484,2020-07-28
254.149993896484,254.149993896484,253.039993286133,253.490005493164,2397,253.490005493164,2020-07-29
253.600006103516,254.429992675781,253.509994506836,253.509994506836,1151,253.509994506836,2020-07-30
