"SGLD.MI.Open","SGLD.MI.High","SGLD.MI.Low","SGLD.MI.Close","SGLD.MI.Volume","SGLD.MI.Adjusted","Date"
176.940002441406,176.970001220703,175.309997558594,175.339996337891,8590,175.339996337891,2023-11-10
175,175.460006713867,174.660003662109,175.460006713867,16160,175.460006713867,2023-11-13
175.460006713867,175.520004272461,174.259994506836,174.699996948242,10781,174.699996948242,2023-11-14
174.830001831055,175.5,174.119995117188,174.389999389648,13726,174.389999389648,2023-11-15
175.029998779297,176.470001220703,174.710006713867,176.339996337891,22798,176.339996337891,2023-11-16
176.960006713867,177.190002441406,175.729995727539,175.880004882812,12341,175.880004882812,2023-11-17
174.940002441406,174.940002441406,173.559997558594,174.139999389648,11114,174.139999389648,2023-11-20
175.5,176.910003662109,175,176.559997558594,6583,176.559997558594,2023-11-21
177.149993896484,177.639999389648,176.820007324219,177,31813,177,2023-11-22
176.470001220703,176.669998168945,176.059997558594,176.289993286133,12271,176.289993286133,2023-11-23
176.339996337891,177,176.169998168945,176.570007324219,25627,176.570007324219,2023-11-24
177.279998779297,177.800003051758,177.25,177.380004882812,9585,177.380004882812,2023-11-27
177.600006103516,179,177.309997558594,178.869995117188,26008,178.869995117188,2023-11-28
179.5,179.800003051758,178.899993896484,179.600006103516,22227,179.600006103516,2023-11-29
180.139999389648,180.470001220703,179.800003051758,180.470001220703,21124,180.470001220703,2023-11-30
180.610000610352,182.830001831055,180.419998168945,182.619995117188,20286,182.619995117188,2023-12-01
182.990005493164,184.289993286133,180.059997558594,180.660003662109,78571,180.660003662109,2023-12-04
181.649993896484,182.009994506836,179.639999389648,180.050003051758,20224,180.050003051758,2023-12-05
181.960006713867,182.089996337891,180.690002441406,181.25,23703,181.25,2023-12-06
181.699996948242,182.330001831055,181.320007324219,181.360000610352,36248,181.360000610352,2023-12-07
181.660003662109,181.779998779297,179.630004882812,180.009994506836,16865,180.009994506836,2023-12-08
178.929992675781,179.190002441406,177.850006103516,177.850006103516,30457,177.850006103516,2023-12-11
177.880004882812,178.600006103516,175.619995117188,177.300003051758,26331,177.300003051758,2023-12-12
177.070007324219,178.240005493164,176.910003662109,177.220001220703,12190,177.220001220703,2023-12-13
180.470001220703,180.619995117188,178.809997558594,179.059997558594,23702,179.059997558594,2023-12-14
178.919998168945,180.300003051758,178.740005493164,180,19588,180,2023-12-15
178.75,179.059997558594,178.410003662109,178.869995117188,13186,178.869995117188,2023-12-18
178.669998168945,179.919998168945,178.539993286133,179.800003051758,14674,179.800003051758,2023-12-19
179.649993896484,179.880004882812,178.720001220703,178.979995727539,11674,178.979995727539,2023-12-20
179.399993896484,180,177.75,179.520004272461,19245,179.520004272461,2023-12-21
179.779998779297,181.160003662109,179.699996948242,180.440002441406,14002,180.440002441406,2023-12-22
180.479995727539,181.5,179.759994506836,180.550003051758,9154,180.550003051758,2023-12-27
180.910003662109,181.160003662109,179.880004882812,180.820007324219,8694,180.820007324219,2023-12-28
180.559997558594,180.699996948242,179.600006103516,180.419998168945,7995,180.419998168945,2023-12-29
181.449996948242,182.449996948242,181.190002441406,181.919998168945,20461,181.919998168945,2024-01-02
181.669998168945,181.759994506836,179.710006713867,179.880004882812,30824,179.880004882812,2024-01-03
180.630004882812,180.720001220703,179.529998779297,180.100006103516,8410,180.100006103516,2024-01-04
180.570007324219,181.5,179.5,180.589996337891,13839,180.589996337891,2024-01-05
179.130004882812,179.240005493164,177.690002441406,178.860000610352,39774,178.860000610352,2024-01-08
179.399993896484,180.059997558594,179.149993896484,179.210006713867,6211,179.210006713867,2024-01-09
179.410003662109,179.699996948242,178.350006103516,178.410003662109,14818,178.410003662109,2024-01-10
178.75,179.5,177.75,178.059997558594,23368,178.059997558594,2024-01-11
179.350006103516,181.339996337891,179.110000610352,180.679992675781,6596,180.679992675781,2024-01-12
181.25,181.25,180.630004882812,180.970001220703,10283,180.970001220703,2024-01-15
181.199996948242,181.220001220703,180.179992675781,180.520004272461,7522,180.520004272461,2024-01-16
179.740005493164,180.149993896484,178.399993896484,178.639999389648,25063,178.639999389648,2024-01-17
178.320007324219,179.240005493164,178.039993286133,179.080001831055,8635,179.080001831055,2024-01-18
179.919998168945,180.649993896484,179.300003051758,179.529998779297,10589,179.529998779297,2024-01-19
179.139999389648,179.770004272461,178.869995117188,179.330001831055,17326,179.330001831055,2024-01-22
179.619995117188,180.520004272461,179.550003051758,180.279998779297,12719,180.279998779297,2024-01-23
180.139999389648,180.350006103516,178.220001220703,178.429992675781,14835,178.429992675781,2024-01-24
