"CSUS.MI.Open","CSUS.MI.High","CSUS.MI.Low","CSUS.MI.Close","CSUS.MI.Volume","CSUS.MI.Adjusted","Date"
290.170013427734,290.170013427734,288.420013427734,289.950012207031,10,289.950012207031,2020-09-01
295.390014648438,295.790008544922,295.390014648438,295.309997558594,106,295.309997558594,2020-09-02
299.279998779297,299.279998779297,288.049987792969,289.160003662109,316,289.160003662109,2020-09-03
288.220001220703,288.220001220703,280.709991455078,280.399993896484,9,280.399993896484,2020-09-04
285.489990234375,286.109985351562,285.489990234375,285.739990234375,29,285.739990234375,2020-09-07
286.290008544922,286.290008544922,281.380004882812,280.5,110,280.5,2020-09-08
280.489990234375,282.390014648438,280.290008544922,282.670013427734,1950,282.670013427734,2020-09-09
282.929992675781,283.350006103516,280.950012207031,282.299987792969,553,282.299987792969,2020-09-10
279.700012207031,279.700012207031,277.290008544922,278.779998779297,445,278.779998779297,2020-09-11
279.459991455078,281.390014648438,279.459991455078,281.390014648438,18,281.390014648438,2020-09-14
281.390014648438,281.390014648438,281.390014648438,281.390014648438,0,281.390014648438,2020-09-15
284.170013427734,284.739990234375,283.730010986328,284.700012207031,62,284.700012207031,2020-09-16
279.700012207031,280.940002441406,279.519989013672,280.429992675781,104,280.429992675781,2020-09-17
279.440002441406,280.589996337891,277.380004882812,277.470001220703,65,277.470001220703,2020-09-18
275.399993896484,275.399993896484,273.709991455078,272.399993896484,1613,272.399993896484,2020-09-21
272.399993896484,272.399993896484,272.399993896484,272.399993896484,0,272.399993896484,2020-09-22
280.540008544922,280.760009765625,279.390014648438,278.769989013672,17,278.769989013672,2020-09-23
274.369995117188,274.369995117188,272.570007324219,274.459991455078,299,274.459991455078,2020-09-24
274.410003662109,277.859985351562,274.410003662109,277.660003662109,2514,277.660003662109,2020-09-25
282.589996337891,283.940002441406,282.589996337891,283.869995117188,4,283.869995117188,2020-09-28
282.809997558594,282.809997558594,281.100006103516,281.309997558594,20,281.309997558594,2020-09-29
280.029998779297,284.239990234375,280.029998779297,284.320007324219,10,284.320007324219,2020-09-30
285.029998779297,286.589996337891,284.320007324219,284.820007324219,95,284.820007324219,2020-10-01
280.600006103516,283.850006103516,280.600006103516,283.690002441406,1388,283.690002441406,2020-10-02
283.209991455078,285.149993896484,283.209991455078,285.149993896484,28,285.149993896484,2020-10-05
285.149993896484,285.149993896484,285.149993896484,285.149993896484,0,285.149993896484,2020-10-06
285.089996337891,286.579986572266,285.089996337891,286.350006103516,395,286.350006103516,2020-10-07
289.070007324219,289.809997558594,288.910003662109,289.399993896484,44,289.399993896484,2020-10-08
291.25,291.25,290.079986572266,290.470001220703,399,290.470001220703,2020-10-09
293.649993896484,295.690002441406,293.649993896484,295.529998779297,98,295.529998779297,2020-10-12
295.529998779297,295.529998779297,295.529998779297,295.529998779297,0,295.529998779297,2020-10-13
295.809997558594,296.970001220703,295.75,295.75,214,295.75,2020-10-14
292.190002441406,293.630004882812,292.109985351562,293.25,27,293.25,2020-10-15
295.170013427734,296.059997558594,295.170013427734,296.059997558594,20,296.059997558594,2020-10-16
296.059997558594,296.059997558594,292.769989013672,292.170013427734,10,292.170013427734,2020-10-19
290.989990234375,290.989990234375,288.720001220703,288.75,6,288.75,2020-10-20
287.809997558594,287.809997558594,286.779998779297,287.130004882812,5,287.130004882812,2020-10-21
287.119995117188,288.5,287.119995117188,287.679992675781,1555,287.679992675781,2020-10-22
289.579986572266,289.579986572266,288.980010986328,288.529998779297,27,288.529998779297,2020-10-23
286.209991455078,287.459991455078,284.089996337891,284.359985351562,32,284.359985351562,2020-10-26
285.609985351562,286.190002441406,284.959991455078,284.589996337891,37,284.589996337891,2020-10-27
282.369995117188,282.380004882812,277.739990234375,278,19,278,2020-10-28
279,279.720001220703,277,280.25,702,280.25,2020-10-29
276.540008544922,279.059997558594,274.910003662109,277.890014648438,154,277.890014648438,2020-10-30
282.640014648438,282.640014648438,281.119995117188,281.260009765625,306,281.260009765625,2020-11-02
281.829986572266,285.390014648438,281.809997558594,285.130004882812,1181,285.130004882812,2020-11-03
288.820007324219,290.899993896484,288.820007324219,292.739990234375,24,292.739990234375,2020-11-04
293.670013427734,295.390014648438,293.670013427734,294.799987792969,64,294.799987792969,2020-11-05
292.320007324219,293.970001220703,290.399993896484,292.660003662109,246,292.660003662109,2020-11-06
297.660003662109,303.149993896484,297.660003662109,302.429992675781,423,302.429992675781,2020-11-09
297.489990234375,297.899993896484,294,295.820007324219,952,295.820007324219,2020-11-10
295.820007324219,295.820007324219,295.820007324219,295.820007324219,0,295.820007324219,2020-11-11
299.079986572266,299.079986572266,299.079986572266,298.239990234375,9,298.239990234375,2020-11-12
297.589996337891,297.589996337891,297.589996337891,297.910003662109,1,297.910003662109,2020-11-13
